College,mean_pk,mean_ws
Duke University,17.852941176470587,17.285294117647062
University of Texas at Austin,20.166666666666668,24.677777777777774
Indiana University,20.181818181818183,9.39090909090909
High School,21.91176470588235,35.102941176470594
University of Kentucky,22.6,14.302500000000009
University of North Carolina,22.68,15.960000000000003
University of Connecticut,22.7,17.615
Georgia Institute of Technology,22.727272727272727,23.09090909090909
University of Washington,22.846153846153847,12.899999999999999
University of Kansas,23.285714285714285,10.925000000000002
University of Michigan,23.454545454545453,9.072727272727272
Villanova University,23.9,13.860000000000003
University of Memphis,25.0,9.236363636363636
University of Arizona,25.75,16.1375
Louisiana State University,26.333333333333332,11.75
Syracuse University,26.38095238095238,8.671428571428573
Stanford University,26.5,16.583333333333336
Michigan State University,27.0,13.677777777777775
University of Louisville,28.416666666666668,5.658333333333332
University of Southern California,28.454545454545453,16.772727272727277
Ohio State University,28.857142857142858,14.17857142857143
Gonzaga University,29.0,6.09
University of Florida,29.25,26.83125
"University of California, Los Angeles",29.75862068965517,18.01724137931034
Florida State University,32.833333333333336,2.4583333333333335
University of Maryland,33.92857142857143,6.614285714285714
University of Missouri,35.8,6.970000000000001
University of Oregon,36.0,5.67857142857143
Iowa State University,37.3,2.0599999999999996
University of California,39.7,8.24
