Country,count,country_code
France,28,FRA
Serbia,23,SRB
Spain,16,ESP
Turkey,13,TUR
Greece,13,GRC
Slovenia,10,SVN
Bosnia and Herzegovina,10,BIH
Croatia,10,HRV
Brazil,9,BRA
Russia,6,RUS
Germany,6,DEU
Latvia,6,LVA
China,6,CHN
Lithuania,6,LTU
Georgia,5,GEO
Congo,5,COG
Ukraine,5,UKR
Senegal,4,SEN
Australia,4,AUS
Montenegro,4,MNE
Argentina,4,ARG
Italy,4,ITA
Israel,3,ISR
Nigeria,3,NGA
Poland,3,POL
Puerto Rico,2,PRI
Switzerland,2,CHE
Sweden,2,SWE
Czech,2,CZE
Netherlands,2,NLD
Mali,2,MLI
Hungary,1,HUN
Finland,1,FIN
Czech Republic,1,CZE
South Korea,1,KOR
South Sudan,1,SSD
Cape Verde,1,CPV
Sudan,1,SDN
India,1,IND
Britain,1,GBR
UK,1,GBR
Belgium,1,BEL
Uzbekistan,1,UZB
