College,mean_pk
Duke University,17.852941176470587
University of Texas at Austin,20.166666666666668
Indiana University,20.181818181818183
High School,21.91176470588235
University of Kentucky,22.6
University of North Carolina,22.68
University of Connecticut,22.7
Georgia Institute of Technology,22.727272727272727
University of Washington,22.846153846153847
University of Kansas,23.285714285714285
University of Michigan,23.454545454545453
Villanova University,23.9
University of Memphis,25.0
University of Arizona,25.75
Louisiana State University,26.333333333333332
Syracuse University,26.38095238095238
Stanford University,26.5
Michigan State University,27.0
University of Louisville,28.416666666666668
University of Southern California,28.454545454545453
Ohio State University,28.857142857142858
Gonzaga University,29.0
University of Florida,29.25
"University of California, Los Angeles",29.75862068965517
Florida State University,32.833333333333336
University of Maryland,33.92857142857143
University of Missouri,35.8
University of Oregon,36.0
Iowa State University,37.3
University of California,39.7
