College,count
University of Kentucky,40
High School,34
Duke University,34
"University of California, Los Angeles",29
University of Kansas,28
University of North Carolina,25
University of Arizona,24
Syracuse University,21
University of Connecticut,20
Michigan State University,18
University of Texas at Austin,18
University of Florida,16
University of Maryland,14
Ohio State University,14
University of Oregon,14
University of Washington,13
Louisiana State University,12
Stanford University,12
University of Louisville,12
Florida State University,12
University of Southern California,11
University of Michigan,11
Georgia Institute of Technology,11
University of Memphis,11
Indiana University,11
Villanova University,10
Gonzaga University,10
University of California,10
University of Missouri,10
Iowa State University,10
