College,count,mean_ws
University of Kentucky,40,14.302500000000009
High School,34,35.102941176470594
Duke University,34,17.285294117647062
"University of California, Los Angeles",29,18.01724137931034
University of Kansas,28,10.925000000000002
University of North Carolina,25,15.960000000000003
University of Arizona,24,16.1375
Syracuse University,21,8.671428571428573
University of Connecticut,20,17.615
Michigan State University,18,13.677777777777775
University of Texas at Austin,18,24.677777777777774
University of Florida,16,26.83125
University of Maryland,14,6.614285714285714
Ohio State University,14,14.17857142857143
University of Oregon,14,5.67857142857143
University of Washington,13,12.899999999999999
Louisiana State University,12,11.75
Stanford University,12,16.583333333333336
University of Louisville,12,5.658333333333332
Florida State University,12,2.4583333333333335
University of Southern California,11,16.772727272727277
University of Michigan,11,9.072727272727272
Georgia Institute of Technology,11,23.09090909090909
University of Memphis,11,9.236363636363636
Indiana University,11,9.39090909090909
Villanova University,10,13.860000000000003
Gonzaga University,10,6.09
University of California,10,8.24
University of Missouri,10,6.970000000000001
Iowa State University,10,2.0599999999999996
